Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;27.09.2017;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
28.09.2017 - 31.12.2017;111,00;95;7.41%;2,14;2,14;113,14
01.01.2018 - 30.06.2018;111,00;181;7.09%;3,90;6,04;117,04
01.07.2018 - 31.12.2018;111,00;184;6.82%;3,82;9,86;120,86
01.01.2019 - 30.06.2019;111,00;181;6.54%;3,60;13,46;124,46
01.07.2019 - 31.12.2019;111,00;184;6.3%;3,53;16,98;127,98
01.01.2020 - 30.06.2020;111,00;182;6.11%;3,37;20,36;131,36
01.07.2020 - 31.12.2020;111,00;184;5.89%;3,29;23,64;134,64
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;26,81;137,81
01.07.2021 - 31.12.2021;111,00;184;5.61%;3,14;29,95;140,95
01.01.2022 - 30.06.2022;111,00;181;5.49%;3,02;32,97;143,97
01.07.2022 - 31.12.2022;111,00;184;5.31%;2,97;35,94;146,94
01.01.2023 - 30.06.2023;111,00;181;5.5%;3,03;38,97;149,97
01.07.2023 - 31.12.2023;111,00;184;7.0%;3,92;42,89;153,89
01.01.2024 - 30.06.2024;111,00;182;7.5%;4,14;47,03;158,03
01.07.2024 - 31.12.2024;111,00;184;7.25%;4,05;51,07;162,07
01.01.2025 - 30.06.2025;111,00;181;6.15%;3,39;54,46;165,46
01.07.2025 - 05.10.2025;111,00;97;5.15%;1,52;55,98;166,98

Rekapitulacija
Glavnica (1);111,00
Kamate;55,98
Uplate (0);0,00
Ukupni dug;166,98
