Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;16.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;05.10.2019;1.111,00;0,00;1.111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
06.10.2019 - 31.12.2019;1.111,00;87;6.3%;16,68;16,68;1.127,68
01.01.2020 - 17.04.2020;1.111,00;108;6.11%;20,03;36,71;1.147,71
18.04.2020 - 18.10.2020;1.111,00;184;0.0%;0,00;36,71;1.147,71
19.10.2020 - 31.12.2020;1.111,00;74;5.89%;13,23;49,94;1.160,94
01.01.2021 - 30.06.2021;1.111,00;181;5.75%;31,68;81,62;1.192,62
01.07.2021 - 31.12.2021;1.111,00;184;5.61%;31,42;113,04;1.224,04
01.01.2022 - 30.06.2022;1.111,00;181;5.49%;30,25;143,29;1.254,29
01.07.2022 - 31.12.2022;1.111,00;184;5.31%;29,74;173,03;1.284,03
01.01.2023 - 30.06.2023;1.111,00;181;5.5%;30,30;203,33;1.314,33
01.07.2023 - 31.12.2023;1.111,00;184;7.0%;39,20;242,53;1.353,53
01.01.2024 - 30.06.2024;1.111,00;182;7.5%;41,43;283,97;1.394,97
01.07.2024 - 31.12.2024;1.111,00;184;7.25%;40,49;324,46;1.435,46
01.01.2025 - 30.06.2025;1.111,00;181;6.15%;33,88;358,35;1.469,35
01.07.2025 - 16.10.2025;1.111,00;108;5.15%;16,93;375,28;1.486,28

Rekapitulacija
Glavnica (1);1.111,00
Kamate;375,28
Uplate (0);0,00
Ukupni dug;1.486,28
